Direction,Department
it-город,Департамент информационных технологий
it-город,Цифровая трансформация
it-город,Информационный город
it-город,Московский социальный регистр
it-город,Информационно-аналитический центр в сфере здравоохранения
Медийный город,Департамент средств массовой информации
Медийный город,Агентство инноваций Москвы
Медийный город,Выставка достижений народного хозяйства
Медийный город,Московское кино
Медийный город,Пиар-отделы органов власти
Социальный город,Департамент здравоохранения
Социальный город,Департамент образования
Социальный город,Департамент труда и социальной защиты населения
Социальный город,Комитет общественных связей и молодежной политики
Социальный город,Агентство общественных проектов
Социальный город,«Моя карьера»
Комфортная городская среда,Московская административная дорожная инспекция
Комфортная городская среда,Департамент городского имущества
Комфортная городская среда,Комитет по архитектуре и градостроительству
Комфортная городская среда,Государственная инспекция по контролю за использованием объектов недвижимости
Правовое пространство,Правовое управление Правительства Москвы
Правовое пространство,Департамент предпринимательства и инновационного развития
Правовое пространство,Департамент городского имущества
Правовое пространство,Аналитический центр контрольной деятельности
Правовое пространство,Юридические отделы органов власти Москвы
Городская экономика,Главное контрольное управление
Городская экономика,Департамент финансов города Москвы
Городская экономика,Департамент инвестиционной и промышленной политики
Городская экономика,Особая экономическая зона «Технополис „Москва“»
Городская экономика,Экономические отделы органов власти Москвы
HR-город,Аппарат Мэра и Правительства Москвы
HR-город,HR-отделы органов власти Москвы
HR-город,Университет Правительства Москвы
HR-город,Департамент труда и социальной защиты населения
HR-город,АНО «Развитие человеческого капитала»
HR-город,Центр развития «Среда возможностей»
