Department,Place
Департамент информационных технологий,"ГКУ ""Московское городское агентство по телекоммуникациям"""
Департамент информационных технологий,ГКУ ИАЦ в сфере здравоохранения города Москвы
Департамент информационных технологий,"Государственное казенное учреждение города Москвы ""Информационный город"""
Департамент информационных технологий,"ГУП ""Московский социальный регистр"""
Департамент информационных технологий,КП «Межотраслевой производственно-технический центр»
Цифровая трансформация,"АНО ""Цифровая трансформация"""
Информационный город,"ГКУ города Москвы ""Информационный город"""
Московский социальный регистр,ГУП города Москвы «Московский социальный регистр»
Информационно-аналитический центр в сфере здравоохранения,ГКУ ИАЦ в сфере здравоохранения города Москвы
Департамент средств массовой информации,"Aкционерное общество ""Концерн ""Радио-центр"""
Департамент средств массовой информации,"Aкционерное общество ""Москва Медиа"""
Департамент средств массовой информации,"Aкционерное общество ""Редакция газеты ""Вечерняя Москва"""
Департамент средств массовой информации,"Aкционерное общество ""ТВ Центр"""
Департамент средств массовой информации,"Kазённое предприятие города Москвы ""Мосгорпечать"""
Департамент средств массовой информации,"Oткрытое акционерное общество ""Московская газетная типография"""
Департамент средств массовой информации,"Акционерное общество ""Мocкoвcкиe инфopмaциoнныe тexнoлoгии"""
Департамент средств массовой информации,"Государственное бюджетное учреждение города Москвы ""Городская реклама и информация"""
Агентство инноваций Москвы,"ГБУ ""Агентство инноваций Москвы"""
Выставка достижений народного хозяйства,"АО ""Выставка достижений народного хозяйства"""
Выставка достижений народного хозяйства,"АО ""ВДНХ"""
Московское кино,"ГБУК города Москвы ""Московское кино"""
Пиар-отделы органов власти,Пресс-служба Мэра и Правительства Москвы
Департамент здравоохранения,"ГКУЗ ""Центр медицинской инспекции Департамента здравоохранения города Москвы"""
Департамент здравоохранения,Департамент здравоохранения города Москвы
Департамент здравоохранения,НИИ организации здравоохранения и медицинского менеджмента ДЗМ
Департамент образования,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Корпоративный университет московского образования»
Департамент образования,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Московский центр качества образования»
Департамент образования,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Московский центр развития профессионального образования»
Департамент образования,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Центр педагогического мастерства»
Департамент образования,Государственное автономное учреждение города Москвы «Медиацентр»
Департамент образования,Государственное автономное учреждение города Москвы «Центр цифровизации образования»
Департамент образования,Государственное бюджетное образовательное учреждение города Москвы дополнительного профессионального образования (повышения квалификации) специалистов Городской методический центр департамента образования и науки города Москвы
Департамент образования,Государственное бюджетное образовательное учреждение дополнительного профессионального образования города Москвы «Московский центр «Патриот.Спорт»
Департамент образования,Государственное бюджетное учреждение города Москвы «Городской психолого-педагогический центр Департамента образования и науки города Москвы»
Департамент образования,Государственное бюджетное учреждение города Москвы «Московский городской дом учителя»
Департамент образования,Государственное казенное учреждение города Москвы Дирекция по обеспечению деятельности государственных учреждений Департамента образования и науки города Москвы
Департамент образования,Государственное казенное учреждение города Москвы Дирекция по строительству и реконструкции зданий и сооружений образовательных организаций Департамента образования и науки города Москвы
Департамент образования,Государственное казенное учреждение города Москвы Служба финансового контроля Департамента образования и науки города Москвы
Департамент образования,Государственное казенное учреждение города Москвы Центр финансового обеспечения Департамента образования и науки города Москвы
Департамент труда и социальной защиты населения,Государственное казенное учреждение города Москвы «Централизованная бухгалтерия Департамента труда и социальной защиты населения города Москвы»
Департамент труда и социальной защиты населения,Государственное бюджетное учреждение города Москвы «Московские социальные центры»
Департамент труда и социальной защиты населения,Государственное бюджетное учреждение города Москвы «Московские социальные центры» филиал «Замоскворечье»
Департамент труда и социальной защиты населения,Государственное бюджетное учреждение города Москвы «Московские социальные центры» филиал «Хамовники»
Департамент труда и социальной защиты населения,Государственное бюджетное учреждение города Москвы «Московские социальные центры» филиал «Якиманка»
Департамент труда и социальной защиты населения,Центр московского долголетия «Щербинский» (ТиНАО)
Департамент труда и социальной защиты населения,Центр московского долголетия «Войковский» (САО)
Департамент труда и социальной защиты населения,Управление социальной защиты населения Центрального административного округа г. Москвы
Департамент труда и социальной защиты населения,Государственное бюджетное учреждение города Москвы «Моя карьера» (ГБУ МК)
Департамент труда и социальной защиты населения,"Государственное бюджетное учреждение города Москвы Дом социального обслуживания ""Северное Измайлово"" Департамента труда и социальной защиты населения города Москвы (ГБУ Социальный дом ""Северное Измайлово"")"
Департамент труда и социальной защиты населения,Государственное бюджетное учреждение города Москвы Центр содействия семейному воспитанию «Центральный» Департамента труда и социальной защиты населения города Москвы (ГБУ ЦССВ «Центральный»)
Департамент труда и социальной защиты населения,Государственное бюджетное учреждение дополнительного образования города Москвы Центр творчества «На Вадковском»
Департамент труда и социальной защиты населения,Государственное бюджетное учреждение города Москвы «Координационный центр по межведомственным проектам Департамента труда и социальной защиты населения города Москвы» (ГБУ КЦМП ДТСЗН)
Комитет общественных связей и молодежной политики,ГБУ города Москвы «Московский дом общественных организаций» («Коворкинг-центр НКО»)
Комитет общественных связей и молодежной политики,ГБУ города Москвы «Ресурсный центр по развитию и поддержке волонтерского движения «Мосволонтёр»
Комитет общественных связей и молодежной политики,"ГБУ города Москвы ""Городской центр профессионального и карьерного развития"""
Агентство общественных проектов,Агентство общественных проектов
«Моя карьера»,Центр «Моя карьера»
Московская административная дорожная инспекция,Московская административная дорожная инспекция
Департамент городского имущества,"ГБУ ""Центр имущественных платежей"""
Департамент городского имущества,ГБУ «Агентство промышленного развития города Москвы»
Департамент городского имущества,ГБУ МосгорБТИ
Департамент городского имущества,"ГКУ ""МОСКОВСКИЙ ЦЕНТР НЕДВИЖИМОСТИ"""
Комитет по архитектуре и градостроительству,ГАУ «Научно-исследовательский и проектный институт Генерального плана города Москвы»
Комитет по архитектуре и градостроительству,ГБУ «Главное архитектурно-планировочное управление Москомархитектуры»
Комитет по архитектуре и градостроительству,ГБУ «Московский городской трест геолого-геодезических и картографических работ»
Государственная инспекция по контролю за использованием объектов недвижимости,Государственная инспекция по контролю за использованием объектов недвижимости
Государственная инспекция по контролю за использованием объектов недвижимости,"Государственное бюджетное учреждение города Москвы ""Московский контрольно-мониторинговый центр недвижимости"""
Правовое управление Правительства Москвы,"Акционерное общество ""Олимп"""
Правовое управление Правительства Москвы,"Государственное бюджетное учреждение города Москвы ""Автохозяйство"""
Правовое управление Правительства Москвы,"Государственное бюджетное учреждение города Москвы ""Финансово-хозяйственное управление Мэрии Москвы"""
Правовое управление Правительства Москвы,"Государственное унитарное предприятие города Москвы ""Комбинат питания Финансово-хозяйственного управления Мэрии Москвы"""
Правовое управление Правительства Москвы,"Государственное унитарное предприятие города Москвы ""Медицинский центр Управления делами Мэра и Правительства Москвы"""
Департамент предпринимательства и инновационного развития,АНО «Агентство креативных индустрий»
Департамент предпринимательства и инновационного развития,АНО «Московский экспортный центр»
Департамент предпринимательства и инновационного развития,АНО «Развитие человеческого капитала»
Департамент предпринимательства и инновационного развития,АО «МОЗ ВНИИМЕТМАШ»
Департамент предпринимательства и инновационного развития,АО «СТМП-ЗЕЛЕНОГРАД»
Департамент предпринимательства и инновационного развития,АО «Технопарк Мосгормаш»
Департамент предпринимательства и инновационного развития,АО «Технопарк Нагатино»
Департамент предпринимательства и инновационного развития,АО «Технопарк Слава»
Департамент предпринимательства и инновационного развития,АО «Управляющая компания Инновационного научно-технологического центра МГУ «Воробьевы горы»
Департамент предпринимательства и инновационного развития,АО АХК «ВНИИМЕТМАШ»
Департамент предпринимательства и инновационного развития,ГБУ «Агентство инноваций Москвы»
Департамент предпринимательства и инновационного развития,ГБУ «Корпорация развития Зеленограда»
Департамент предпринимательства и инновационного развития,ГБУ «Малый бизнес Москвы»
Департамент предпринимательства и инновационного развития,КП «Технопарк «Строгино»
Департамент предпринимательства и инновационного развития,Фонд «Московский инновационный кластер»
Департамент предпринимательства и инновационного развития,Фонд содействия кредитованию малого бизнеса Москвы (Московский гарантийный фонд)
Департамент предпринимательства и инновационного развития,Фонд содействия развитию венчурных инвестиций в малые предприятия в научно-технической сфере города Москвы
Аналитический центр контрольной деятельности,"ГБУ города Москвы ""Аналитический центр контрольной деятельности"""
Юридические отделы органов власти Москвы,Управление по связям с органами законодательной и исполнительной власти Правительства Москвы
Главное контрольное управление,Государственное бюджетное учреждение города Москвы «Аналитический центр контрольной деятельности»
Департамент финансов города Москвы,Департамент финансов города Москвы
Департамент финансов города Москвы,Государственное казенное учреждение города Москвы «Городской финансово-технический сервис» (ГКУ «Горфинтехсервис»)
Департамент финансов города Москвы,Государственное казенное учреждение города Москвы «Финансовое агентство города Москвы» (ГКУ «Мосфинагентство»)
Особая экономическая зона «Технополис „Москва“»,"АНО «Центр поддержки экспорта, промышленности и инвестиционной деятельности «Моспром»"
Особая экономическая зона «Технополис „Москва“»,АНО «Центр развития «Среда возможностей»
Особая экономическая зона «Технополис „Москва“»,"АО ""Особая экономическая зона ""Технополис Москва"""
Особая экономическая зона «Технополис „Москва“»,АО «Инвестиционная проектная компания»
Особая экономическая зона «Технополис „Москва“»,ГБУ «Городское агентство управления инвестициями»
Особая экономическая зона «Технополис „Москва“»,Московский Фонд поддержки промышленности и предпринимательства
Экономические отделы органов власти Москвы,"АНО ""Агентство стратегического развития города Москвы"""
Экономические отделы органов власти Москвы,ГБУ «Аналитический центр»
Экономические отделы органов власти Москвы,ГБУ «Миграционный центр»
Экономические отделы органов власти Москвы,ГКУ «Центр налоговых доходов»
Аппарат Мэра и Правительства Москвы,"Акционерное общество ""Олимп"""
Аппарат Мэра и Правительства Москвы,"Государственное бюджетное учреждение города Москвы ""Автохозяйство"""
Аппарат Мэра и Правительства Москвы,"Государственное бюджетное учреждение города Москвы ""Финансово-хозяйственное управление Мэрии Москвы"""
Аппарат Мэра и Правительства Москвы,"Государственное унитарное предприятие города Москвы ""Комбинат питания Финансово-хозяйственного управления Мэрии Москвы"""
Аппарат Мэра и Правительства Москвы,"Государственное унитарное предприятие города Москвы ""Медицинский центр Управления делами Мэра и Правительства Москвы"""
HR-отделы органов власти Москвы,Управление государственной службы и кадровой работы
Университет Правительства Москвы,Университет Правительства Москвы
Департамент труда и социальной защиты населения,Вороновский отдел социальной защиты населения Управления социальной защиты населения Троицкого и Новомосковского административных округов города Москвы
Департамент труда и социальной защиты населения,ГБУ «Аварийно-эксплуатационная служба»
Департамент труда и социальной защиты населения,ГБУ «МСЦ»
Департамент труда и социальной защиты населения,ГБУ «МСЦ» филиал «Замоскворечье»
АНО «Развитие человеческого капитала»,АНО «Развитие человеческого капитала»
Центр развития «Среда возможностей»,АНО «Центр развития «Среда возможностей»
Департамент инвестиционной и промышленной политики,"АНО «Центр поддержки экспорта, промышленности и инвестиционной деятельности «Моспром»"
Департамент инвестиционной и промышленной политики,АНО «Центр развития «Среда возможностей»
Департамент инвестиционной и промышленной политики,"АО ""Особая экономическая зона ""Технополис Москва"""
Департамент инвестиционной и промышленной политики,АО «Инвестиционная проектная компания»
Департамент инвестиционной и промышленной политики,ГБУ «Городское агентство управления инвестициями»
Департамент инвестиционной и промышленной политики,Московский Фонд поддержки промышленности и предпринимательства
